Subject geographic 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Huancavelica, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Puno, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Cusco, Peru","Apurimac, Peru","Ayacucho, Peru",Peru,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
Amazonas,Peru,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Piura, Peru","Arequipa, Peru","Puno, Peru","Tacna, Peru","Cusco, Peru","Huancavelica, Peru","Ica, Peru","Ayacucho, Peru","San Martín, Peru","Loreto, Peru","Junín, Peru",Amazonas,"Lambayeque, Peru",Peru,,,,,,,,,,
"Piura, Peru","Puno, Peru","Tacna, Peru","Cusco, Peru","Huancavelica, Peru","Ayacucho, Peru","San Martín, Peru","Loreto, Peru","Junín, Peru","Pasco, Peru","La Libertad, Peru","Lambayeque, Peru",Peru,,,,,,,,,,,,
"Lima, Peru","San Martín, Peru","Ancash, Peru","Cajamarca, Peru",Peru,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,Panamá,,,,,,,,,,,,,,,,,,,,,,
"Apurimac, Peru","Huancavelica, Peru","Ica, Peru","Ayacucho, Peru","San Martín, Peru","Loreto, Peru","Ucayali, Peru","Junín, Peru","Ancash, Peru","La Libertad, Peru",Amazonas,Peru,Bolivia,Colombia,Cuba,,,,,,,,,,
"Arequipa, Peru","Puno, Peru","Tacna, Peru","Moquegua, Peru","Huancavelica, Peru","Ayacucho, Peru","San Martín, Peru","Junín, Peru","Ancash, Peru",Peru,,,,,,,,,,,,,,,
"Piura, Peru","Ayacucho, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Piura, Peru","Cusco, Peru",Peru,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Piura, Peru","Arequipa, Peru","Puno, Peru","Apurimac, Peru","Huancavelica, Peru","Ayacucho, Peru","Loreto, Peru","Ucayali, Peru","Junín, Peru","Huánuco, Peru","Ancash, Peru","La Libertad, Peru","Lambayeque, Peru","Cajamarca, Peru","Tumbes, Peru","Cusco, Peru",Peru,,,,,,,
"Piura, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Pasco, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Piura, Peru","Arequipa, Peru","Puno, Peru","Tacna, Peru","Moquegua, Peru","Cusco, Peru","Madre de Dios, Peru","Apurimac, Peru","Huancavelica, Peru","Ica, Peru","Ayacucho, Peru","San Martín, Peru","Loreto, Peru","Ucayali, Peru","Junín, Peru","Pasco, Peru","Huánuco, Peru","Ancash, Peru","La Libertad, Peru","Lambayeque, Peru","Cajamarca, Peru",Amazonas,"Tumbes, Peru",Peru
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Cusco, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Puno, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Puno, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Piura, Peru","Arequipa, Peru","Puno, Peru","Cusco, Peru","Apurimac, Peru","Huancavelica, Peru","Ayacucho, Peru","Loreto, Peru","Ucayali, Peru","Junín, Peru","Huánuco, Peru","Ancash, Peru","La Libertad, Peru","Lambayeque, Peru","Cajamarca, Peru","Tumbes, Peru",Peru,,,,,,,
"Lima, Peru","Piura, Peru","Puno, Peru","Cusco, Peru","Madre de Dios, Peru","Apurimac, Peru","Huancavelica, Peru","Ica, Peru","Loreto, Peru","Ucayali, Peru","Junín, Peru","Ancash, Peru","La Libertad, Peru","Cajamarca, Peru",Peru,,,,,,,,,,
"Lima, Peru","Piura, Peru","Arequipa, Peru","Puno, Peru","Tacna, Peru","Moquegua, Peru","Cusco, Peru","Madre de Dios, Peru","Apurimac, Peru","Huancavelica, Peru","Ica, Peru","San Martín, Peru","Loreto, Peru","Ucayali, Peru","Junín, Peru","Pasco, Peru","Ancash, Peru","La Libertad, Peru","Lambayeque, Peru","Cajamarca, Peru",Peru,,,,
"Piura, Peru","Arequipa, Peru","Puno, Peru","Cusco, Peru","Apurimac, Peru","Huancavelica, Peru","Ica, Peru","San Martín, Peru","Loreto, Peru","Ucayali, Peru","Junín, Peru","Huánuco, Peru","Cajamarca, Peru",Peru,,,,,,,,,,,
"Lima, Peru","Piura, Peru","Arequipa, Peru","Puno, Peru","Tacna, Peru","Moquegua, Peru","Cusco, Peru","Madre de Dios, Peru","Apurimac, Peru","Huancavelica, Peru","Ica, Peru","Ayacucho, Peru","San Martín, Peru","Loreto, Peru","Ucayali, Peru","Junín, Peru","Pasco, Peru","Huánuco, Peru","Ancash, Peru","La Libertad, Peru","Cajamarca, Peru",Amazonas,"Tumbes, Peru",Peru,
"Lima, Peru","Puno, Peru","Cusco, Peru","Apurimac, Peru","Huancavelica, Peru","Ayacucho, Peru","San Martín, Peru","Junín, Peru","Pasco, Peru","Ancash, Peru","La Libertad, Peru","Cajamarca, Peru","Callao, Peru",Peru,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
"Ayacucho, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
